epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
95,3867.66,0.74696,0.43495,0.94008,0.93294,0.95026,0.97918,0.77097,0.83095,0.35587,0.94975,0.000875737,0.000291912,0.000875737,0.000291912,0.000875737,0.000291912,0.000875737,0.000291912
96,3909.94,0.74519,0.43604,0.937,0.95291,0.92532,0.97659,0.76665,0.83262,0.36044,0.94705,0.000860511,0.000286837,0.000860511,0.000286837,0.000860511,0.000286837,0.000860511,0.000286837
97,3952.46,0.74817,0.43321,0.9395,0.92546,0.95567,0.97734,0.76684,0.83577,0.36173,0.9469,0.000845285,0.000281762,0.000845285,0.000281762,0.000845285,0.000281762,0.000845285,0.000281762
98,3994.77,0.74193,0.42875,0.93464,0.95555,0.92536,0.97763,0.76813,0.82958,0.35786,0.94592,0.000830059,0.000276686,0.000830059,0.000276686,0.000830059,0.000276686,0.000830059,0.000276686
99,4037.27,0.74545,0.43028,0.93596,0.92966,0.94644,0.97752,0.76944,0.83019,0.35662,0.94287,0.000814832,0.000271611,0.000814832,0.000271611,0.000814832,0.000271611,0.000814832,0.000271611
100,4080.01,0.73801,0.42335,0.93761,0.93168,0.94876,0.97925,0.77132,0.83137,0.35417,0.94196,0.000799606,0.000266535,0.000799606,0.000266535,0.000799606,0.000266535,0.000799606,0.000266535
101,4122.68,0.7427,0.42915,0.93782,0.95189,0.93152,0.97841,0.77402,0.83026,0.35719,0.94308,0.00078438,0.00026146,0.00078438,0.00026146,0.00078438,0.00026146,0.00078438,0.00026146
102,4163.99,0.74701,0.43319,0.93613,0.9565,0.92246,0.97829,0.77332,0.83166,0.35653,0.94388,0.000769154,0.000256385,0.000769154,0.000256385,0.000769154,0.000256385,0.000769154,0.000256385
103,4199.25,0.73616,0.42442,0.93666,0.93445,0.94951,0.97715,0.77054,0.83175,0.35971,0.94687,0.000753928,0.000251309,0.000753928,0.000251309,0.000753928,0.000251309,0.000753928,0.000251309
104,4234.63,0.74333,0.43152,0.93411,0.93516,0.94814,0.97542,0.76604,0.83803,0.36165,0.94526,0.000738701,0.000246234,0.000738701,0.000246234,0.000738701,0.000246234,0.000738701,0.000246234
105,4270.05,0.7442,0.42468,0.93276,0.9501,0.93438,0.97638,0.76891,0.83893,0.36024,0.94878,0.000723475,0.000241158,0.000723475,0.000241158,0.000723475,0.000241158,0.000723475,0.000241158
106,4305.37,0.74288,0.42237,0.93528,0.96024,0.92004,0.97665,0.76715,0.84008,0.36096,0.9485,0.000708249,0.000236083,0.000708249,0.000236083,0.000708249,0.000236083,0.000708249,0.000236083
107,4340.54,0.74171,0.42402,0.93272,0.91929,0.95511,0.97642,0.76994,0.83195,0.35769,0.93983,0.000693023,0.000231008,0.000693023,0.000231008,0.000693023,0.000231008,0.000693023,0.000231008
108,4375.69,0.73353,0.41708,0.93423,0.92721,0.94967,0.97618,0.76949,0.83101,0.3567,0.93732,0.000677797,0.000225932,0.000677797,0.000225932,0.000677797,0.000225932,0.000677797,0.000225932
109,4410.58,0.73233,0.41735,0.9328,0.95407,0.92328,0.97734,0.76741,0.83046,0.35775,0.93553,0.00066257,0.000220857,0.00066257,0.000220857,0.00066257,0.000220857,0.00066257,0.000220857
110,4445.76,0.73598,0.42377,0.93555,0.9475,0.93787,0.97849,0.76592,0.83059,0.35603,0.94005,0.000647344,0.000215781,0.000647344,0.000215781,0.000647344,0.000215781,0.000647344,0.000215781
111,4480.92,0.72815,0.42082,0.93426,0.95497,0.93229,0.97934,0.76575,0.83249,0.35538,0.9404,0.000632118,0.000210706,0.000632118,0.000210706,0.000632118,0.000210706,0.000632118,0.000210706
